deployment,organization,sector,m_L1,m_L2,m_L3,m_L4,evidence_L1,evidence_L2,evidence_L3,evidence_L4,url_L1,url_L2,url_L3,url_L4
Claude Code (internal engineering use),Anthropic,"Big-tech / AI lab, developer tools",0.5,0.0,0.25,0.5,Read-only default with explicit permission escalation (least-privilege); OS-level sandboxing (bubblewrap/seatbelt) as a containment boundary; auto-mode circuit breaker halts and escalates after 3 consecutive or 20 total denials (iteration limits w/ fallback + agent circuit breaker); model-based guardrail classifiers (closed-loop). ~5/9 classes on the critical-path internal deployment with measured effectiveness (sandboxing cut permission prompts 84%).,no public evidence (single-agent tool; no population/interaction-graph monitoring),"Permission prompts as approval gates, human override/kill, and auto-mode as an explicit tiered-autonomy tier delegating approvals to classifiers with escalation on denial streaks. ~4/9 classes; escalation SLA not published, so held at 0.25.","Managed settings, deny rules, and managed hooks (policy-as-code gates); OpenTelemetry audit events (semantic observability/golden signals); CI/CD release gates and adversarial validation across real coding workflows (evals in CI/CD); internal incident log of agentic misbehaviors (layer-coded postmortems). ~5/10 classes with measured effectiveness, supporting 0.50.",https://www.anthropic.com/engineering/claude-code-sandboxing,,https://www.anthropic.com/engineering/claude-code-auto-mode,https://code.claude.com/docs/en/security
Copilot Studio autonomous agents,Microsoft,Big-tech / SaaS platform,0.25,0.0,0.25,0.25,"Guidance to program strict limits on agent actions (closed-loop guardrails), DLP, and running agents under dedicated least-privilege identities rather than broad user accounts (least-privilege tool access). Partial L1; coverage per-tenant, unmeasured.",no public evidence,"Detailed logs of every trigger, decision, and action (audit/provenance); layered approval workflows separating experimentation from production (approval gates, tiered autonomy). ~3/9 classes; no effectiveness metrics.","Zoned governance with layered environments and approval workflows (progressive rollout), DLP policies (policy-as-code), dedicated least-privilege agent identities (workload identity). Partial; documented as capability guidance, fleet coverage not measured.",https://learn.microsoft.com/en-us/microsoft-copilot-studio/guidance/autonomous-agents,,https://learn.microsoft.com/en-us/microsoft-copilot-studio/security-and-governance,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ai-agents/governance-security-across-organization
Gemini Enterprise Agent Platform,Google Cloud,Big-tech / cloud platform,0.25,0.0,0.25,0.25,Agent Gateway is a runtime enforcement point intercepting tool calls to enforce access-control policy and Model Armor inspection (closed-loop guardrails); native IAM granular least-privilege access. Partial L1; per-agent coverage not measured.,no public evidence (a unified Agent Registry exists but no interaction-graph/cascade monitoring),Comprehensive audit logging and per-agent identity giving a clear audit trail (provenance); operational-oversight monitoring of agent health. ~2-3/9 classes; no drill/SLA metrics.,"Per-agent SPIFFE-formatted Agent Identity in IAM (workload identity), Agent Gateway policy enforcement (policy-as-code), Agent Registry, and performance/health monitoring (observability). Strong specific match on workload identity; ~4/10 classes but coverage not measured, so held at 0.25.",https://docs.cloud.google.com/gemini-enterprise-agent-platform/govern,,https://docs.cloud.google.com/gemini-enterprise-agent-platform/govern,https://cloud.google.com/blog/products/ai-machine-learning/introducing-gemini-enterprise-agent-platform
Ada Reasoning Engine CX Agent,Ada (platform vendor),Customer Support,0.25,0.0,0.25,0.25,"Built-in guardrails enforce agent compliance at every step; reasoning stage separated from action execution to reduce hallucination (closed-loop guardrails, uncertainty-aware control); OpenAI safety tooling integrated. Multiple classes across 350+ deployments.",no public evidence,Automated-resolution model implies handoff to humans for unresolved cases; safety criterion gates responses. Human escalation path documented (partial L3).,"Fleet-level measurement across 350+ deployments (containment ~72%, automated-resolution ~52%) with defined Relevant/Accurate/Safe criteria and ongoing optimization. Extended golden signals / evals (partial).",https://www.ada.cx/blog/can-i-trust-this-ai-agent-why-enterprises-need-new-standards-to-scale-safely/,,https://www.prnewswire.com/news-releases/ada-launches-new-customer-service-ai-agent-powered-by-the-ada-reasoning-engine-to-maximize-automated-resolutions-301994335.html,https://www.ada.cx/resources/guide/what-is-automated-resolution-in-ai-customer-service/
"Decagon AI Concierge (Notion, Duolingo, Rippling)",Decagon (platform vendor),Customer Support,0.25,0.0,0.25,0.25,"Sensitive operations (refunds, identity verification) executed in deterministic code rather than model discretion; least-privilege integrations. Multiple guardrail classes on production agents.",no public evidence,"Escalations are context-preserving warm transfers delivering conversation history/customer data/resolution attempts to human agents before handoff (escalation gate, partial L3).","Agent Operating Procedures compiled to structured logic; integrations, guardrails and versioning controlled through Git (policy-as-code + version control); SOC 2, data residency. 1-2 of 10 ops classes.",https://www.eesel.ai/blog/decagon,,https://www.zenml.io/llmops-database/building-a-production-ai-agent-system-for-customer-support,https://www.assembled.com/page/decagon-ai
Air Canada Chatbot,Air Canada,Customer Support / Airline,0.0,0.0,0.0,0.0,"Negative anchor case. BC Civil Resolution Tribunal (Moffatt v. Air Canada, 2024) found the airline 'did not take reasonable care to ensure its chatbot was accurate' after it invented a bereavement-fare policy. No guardrail/grounding mechanism evidenced; hallucination reached the customer unchecked.",no public evidence,"No effective supervisory/escalation control evidenced; tribunal held company liable, treating chatbot output as unsupervised website content.",no public evidence,https://www.cbc.ca/news/canada/british-columbia/air-canada-chatbot-lawsuit-1.7116416,,https://www.americanbar.org/groups/business_law/resources/business-law-today/2024-february/bc-tribunal-confirms-companies-remain-liable-information-provided-ai-chatbot/,
AI.g / Maharaja Virtual Agent,Air India (with Microsoft Azure OpenAI),Customer Support / Airline,0.25,0.0,0.25,0.25,"GPT-4 with retrieval-augmented generation grounded in enterprise data across 1,300 topics (anti-hallucination grounding, scoped knowledge access). Partial guardrail classes.",no public evidence,"Documented escalation gate: only ~3% of queries are escalated to human agents; remainder resolved autonomously (tiered autonomy, partial L3).","Measured operations: ~40,000 queries/day, 13M+ conversations resolved at a reported 97% success rate; volume and success monitored (golden signals / semantic observability, partial).",https://www.airindia.com/in/en/newsroom/press-release/air-india-successfully-deploys-airline-industry-s-first-generati.html,,https://www.microsoft.com/en/customers/story/26047-air-india-azure-openai-in-foundry-models,https://www.microsoft.com/en/customers/story/26047-air-india-azure-openai-in-foundry-models
"Sierra CX Agents (WeightWatchers, ADT, SiriusXM)",Sierra (platform vendor),Customer Support / Retail,0.25,0.0,0.25,0.25,"Agents configured with explicit goals and guardrails to keep them on-policy; scoped tool/knowledge access per brand. Multiple guardrail classes on production agents, unmeasured fleet coverage.",no public evidence,ADT agent runs with 'tight guardrails and dense human-in-the-loop review'; escalation/handoff to human staff documented on critical-path deployments (partial L3).,"Measured outcomes (WeightWatchers agent ~70% of sessions, 4.6/5 CSAT); Agent SDK with versioning and analytics/trust tooling (semantic observability, partial).",https://sierra.ai/customers/weightwatchers,,https://theaiagentindex.com/agents/sierra,https://sierra.ai/customers
GitHub Copilot coding agent (enterprise),GitHub / Microsoft,Developer tools,0.25,0.0,0.25,0.25,"Cloud coding agent runs in a sandboxed ephemeral environment with a configurable firewall allowlist (least-privilege network/tool access), built-in security protections, and duplicate/content filtering. Partial coverage of L1 classes (least-privilege tool access, closed-loop guardrails); coverage not publicly measured.",no public evidence of interaction-graph/population/cascade monitoring,"Agent works on a branch and cannot merge without human PR approval (approval gate); enterprise audit-log fields record exactly what the agent did and on whose behalf (provenance); admins have a unified AI-controls view and can disable agents (override). ~3/9 classes, no measured escalation SLA.","Enterprise AI-governance controls: policies/config in a unified admin view, 24-hour agent-session activity view, audit logging, and responsible-AI evals via Azure AI Foundry (evals in CI). Agent acts under an on-behalf identity. Partial; measured fleet coverage not shown.",https://docs.github.com/en/copilot/tutorials/cloud-agent/build-guardrails,,https://docs.github.com/en/copilot/concepts/agents/enterprise-management,https://docs.github.com/en/copilot/get-started/enterprise-ai-governance
Duo Agent Platform (DevSecOps),GitLab,Developer tools,0.25,0.0,0.25,0.25,Prompt guardrails plus a composite @duo-developer service-account identity that limits access (least-privilege); admins choose which agents/flows/models are allowed and where (scoped guardrails). Partial L1; coverage unmeasured.,no public evidence,"human_approval_required:true forces a human to confirm irreversible actions (merge/deploy) = explicit approval gates; audit-log integration captures agent invocations, tool calls, and outputs (provenance); git version control provides rollback. ~3-4/9 classes.","Flows run inside CI/CD with pipeline/MR/change-window guardrails (evals/gates in CI/CD), @duo-developer workload identity, audit-log evidence, and flow sessions with CI job logs (observability). Partial L4; measured coverage not published.",https://docs.gitlab.com/user/gitlab_duo/prompt_guardrails/,,https://docs.gitlab.com/user/duo_agent_platform/security/,https://about.gitlab.com/gitlab-duo-agent-platform/
Research Assistant (agentic),Moody's,Financial Services (credit ratings / risk analytics),0.25,0.0,0.25,0.25,"Multi-agent orchestration with bounded workflows (up to ~400 steps) and an accuracy-first design given 'billion-dollar decision' stakes; grounded on proprietary data estate (iteration-limit + closed-loop guardrail classes, partial).","no public evidence (multi-agent orchestration exists, but no documented emergence/contagion/population controls)",Human oversight over analytical outputs with source citations/provenance back to filings and ratings (audit-trail/provenance + approval-gate classes). Unmeasured.,"Serverless multi-agent orchestration on Amazon Bedrock with document-processing pipelines; measured production signals (>1M tokens/day, 30% faster task completion, 100k+ interactions) (observability + golden signals, partial).",https://www.zenml.io/llmops-database/multi-agent-ai-system-for-financial-intelligence-and-risk-analysis,,https://www.moodys.com/web/en/us/creditview/blog/from-research-assistant-to-agentic-solution-with-cristina-pieretti.html,https://www.zenml.io/llmops-database/multi-agent-ai-platform-for-financial-workflow-automation
Klarna AI customer-service assistant,Klarna (powered by OpenAI),Financial Services (fintech / BNPL),0.25,0.0,0.25,0.25,"Assistant operates within customer-service scope with fallback to humans; firm publicly acknowledged hallucinations/quality issues on complex edge cases and added guardrails/human handoff (closed-loop guardrail + fallback classes, partial).",no public evidence,Tiered handling with escalation to human agents for complex cases; in 2025 the firm re-introduced human agents so customers can always reach a human (tiered-autonomy / escalation class). Unmeasured coverage.,"Extensively measured golden signals in production: 2.3M conversations, resolution time 11->2 min, 25% fewer repeat inquiries, CSAT parity, NPS tracking (semantic observability + extended golden signals, partial). No evidence of CI evals, atomic rollback, or chaos drills.",https://openai.com/index/klarna/,,https://blog.promptlayer.com/klarna-customer-service-from-ai-first-to-human-hybrid-balance/,https://www.klarna.com/international/press/klarna-ai-assistant-handles-two-thirds-of-customer-service-chats-in-its-first-month/
LLM Suite,JPMorgan Chase,Financial Services (global bank),0.25,0.0,0.25,0.25,"Cross-functional governance board governs data access and model vetting; a model cannot be used without registration in the control process, and use cases must pass controls and adequate testing. Guardrails + least-privilege data access evidenced (partial); secondary-source reporting.",no public evidence,Mandatory control/approval process before an AI model can be used; audit logging cited as part of the governance board's remit (approval-gate + audit-trail classes). Unmeasured; reported via secondary sources.,"Model registration in a formal control process, continuous monitoring, and ROI measurement described; internally built platform gives data-governance/deployment control. Partial policy-gate + observability; no evidence of CI evals, chaos drills, or per-agent workload identity. FLAG: mostly secondary reporting.",https://emerj.com/artificial-intelligence-at-jpmorgan-chase/,,https://www.ctoforum.org/wp-content/uploads/2025/07/JPMorganChase-Leadership-in-the-Age-of-GenAI-TMS.pdf,https://emerj.com/artificial-intelligence-at-jpmorgan-chase/
AI Jim / Maya claims and quote agents,Lemonade,Financial Services (insurtech),0.25,0.0,0.25,0.25,"Deterministic policy/rules layer sits in front of the model with runtime evaluation on responses, rules-based coverage checks, anti-fraud checks, and confidence thresholds that trigger fallback (closed-loop guardrail + uncertainty-observer + fallback classes). FLAG: mechanism detail partly from secondary case studies.",no public evidence,Complex/high-value/questionable claims auto-route to a human expert (tiered autonomy + behavioral escalation) with warm transfer preserving full context; every conversation/tool-call/output persisted (audit trail). Lemonade reports 96% of FNOL taken by bots and 55% of claims fully automated (measured autonomy split).,"Runtime evaluation on every response, ML fraud/severity models, and audit trails persisted to the data warehouse on a defined schedule; measured production automation rates (semantic observability + golden signals, partial).",https://getperspective.ai/blog/lemonade-case-study-conversational-ai-insurance,,https://www.trixlyai.com/blog/our-blog-1/agentic-ai-insurance-lemonade-case-study-28,https://www.trixlyai.com/blog/our-blog-1/agentic-ai-insurance-lemonade-case-study-28
GS AI Assistant / GS AI Platform,Goldman Sachs,Financial Services (investment bank),0.25,0.0,0.25,0.25,"All AI traffic passes a secure compliance gateway applying prompt filtering, data anonymization, and policy checks; role-based access restricts tool/data reach (least-privilege + closed-loop guardrail classes). Partial coverage evidenced across ~46,500 employees.",no public evidence,"Human-in-the-loop plus audit logs; for autonomous agents (Claude-built accounting/compliance agents), autonomous execution above defined thresholds still requires human sign-off (tiered autonomy + approval gate + audit trail). Unmeasured publicly.","Compliance gateway (policy-as-code-style checks), audit logging (observability), and phased rollout from ~10k to 46.5k employees (progressive rollout); governance infrastructure embedded before scaling. Partial; no evidence of CI evals or chaos drills.",https://www.virtasant.com/ai-today/how-goldman-sachs-scaled-ai-to-46-000-employees-safely,,https://www.pymnts.com/artificial-intelligence-2/2026/goldman-sachs-lets-ai-agents-do-accounting-and-compliance-work/,https://fortune.com/2025/06/24/goldman-sachs-internal-ai-assistant/
Erica virtual financial assistant,Bank of America,Financial Services (retail bank),0.25,0.0,0.25,0.25,"Deterministic NLU/ML design deliberately avoids free-form LLM generation; responses constrained to curated, compliant answers vetted for 100% accuracy, with fallback to human specialists (closed-loop guardrail + iteration-fallback classes). Note: largely non-generative, so 'agent' status is limited.",no public evidence,Escalation/handoff to a human specialist when Erica lacks a good answer (tiered autonomy); transcripts retained with PII masked and a team reviews conversations (audit/provenance + oversight meta-monitoring). Partial.,"Continuous conversation review and refinement, 90-day retention with PII masking, and measured scale (3B+ interactions, 58M/month) (observability + golden signals, partial). No public evidence of CI evals, progressive rollout tooling, or chaos drills.",https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/08/a-decade-of-ai-innovation--bofa-s-virtual-assistant-erica-surpas.html,,https://thefinancialbrand.com/news/customer-experience-banking/hy-bank-of-americas-erica-virtual-assistant-has-a-human-touch-187354,https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/08/a-decade-of-ai-innovation--bofa-s-virtual-assistant-erica-surpas.html
