deployment,organization,sector,m_L1,m_L2,m_L3,m_L4,evidence_L1,evidence_L2,evidence_L3,evidence_L4,url_L1,url_L2,url_L3,url_L4
Fraud-detection agentic AI,Commonwealth Bank of Australia (CommBank),Financial Services (retail bank),0.25,0.0,0.25,0.25,"Agent operates over a monitored signal pipeline (80M+ signals/day) to detect emerging fraud patterns within a scoped rule-generation task (closed-loop guardrail + scoped-access classes, partial).",no public evidence,Strong approval gate: the agent proposes new detection rules but the fraud-analytics team checks and signs off before anything goes into production (approval gate + human-in-the-loop). Governed under a published 'Approach to Adopting AI'.,"Agent generates the detection-rule code (policy-as-code style) with human sign-off gating deployment; measured impact (scam losses down 20% H1 2026; ~75% of card-fraud rules built/updated with the agent). Built on Snowflake data cloud (progressive/gated rollout + observability, partial).",https://www.commbank.com.au/articles/newsroom/2026/04/ai-agent-spots-fraud-in-real-time.html,,https://www.commbank.com.au/content/dam/commbank-assets/about-us/docs/our-approach-to-adopting-ai-december-2025.pdf,https://www.commbank.com.au/articles/newsroom/2026/04/ai-agent-spots-fraud-in-real-time.html
Fargo virtual assistant,Wells Fargo (on Google Cloud),Financial Services (retail bank),0.25,0.0,0.25,0.25,"Privacy-orchestration layer scrubs and tokenizes PII on-premise before any LLM call, guaranteeing zero PII to the model; queries pre-processed/anonymized (least-privilege / data-minimization + closed-loop guardrail classes). Strong but partial class coverage.",no public evidence,"Banking-grade logging/provenance of interactions for compliance (audit-trail class). NOTE: reporting emphasizes 'zero human handoffs', so tiered-autonomy/escalation evidence is weak; scored on audit/provenance only.","Engineered privacy-orchestration/tokenization pipeline with measured production scale (245.4M interactions in 2024, zero PII incidents) and beta->full progressive rollout (semantic observability + golden signals + progressive rollout, partial).",https://venturebeat.com/ai/wells-fargos-ai-assistant-just-crossed-245-million-interactions-with-zero-humans-in-the-loop-and-zero-pii-to-the-llm,,https://cloud.google.com/transform/reinventing-personal-finance-customer-experience-wells-fargo-fargo-chat,https://cloud.google.com/blog/topics/financial-services/wells-fargo-agentic-ai-agentspace-empowering-workers
AI @ Morgan Stanley Assistant / Debrief,Morgan Stanley Wealth Management,Financial Services (wealth management / investment bank),0.25,0.0,0.25,0.25,"Firm built guardrails around testing and bias mitigation; every use case passes a structured eval framework before deployment and outputs are constrained to curated/approved content. Guardrail + testing mechanism classes evidenced on production advisor agents; no evidence of budget caps, circuit breakers, or least-privilege tool scoping documented publicly.",no public evidence,"Human-in-the-loop is mandatory: Debrief generates meeting notes/emails only with client consent, and the advisor reviews and edits every output before sending (approval gate); notes saved to Salesforce give provenance/audit trail. Approval-gate + audit-trail classes evidenced; unmeasured.","Documented eval framework systematically tests models against real-world scenarios with human-expert grading for accuracy/coherence prior to release (evals-before-deploy). Partial CI-style evals; no public evidence of progressive rollout w/ atomic rollback, chaos drills, or error-budget-modulated autonomy.",https://openai.com/index/morgan-stanley/,,https://www.morganstanley.com/press-releases/ai-at-morgan-stanley-debrief-launch,https://openai.com/index/morgan-stanley/
Hippocratic AI Polaris Agents,Hippocratic AI,Healthcare,0.25,0.0,0.5,0.25,"Constellation architecture: a primary conversational model plus 21 specialist supervisor models that block unsafe output (closed-loop safety guardrails, uncertainty-aware observers, circuit-breaker on unsafe content) on all agents.","no public evidence (multi-model ensemble is internal to a single agent, not a multi-agent population; no emergence/contagion mechanisms documented)","Strongest L3 case: supervisor models continuously oversee the talking model (oversight meta-monitoring); clinically proven guideline escalation protocols transfer risky calls to human nurses (tiered autonomy, algedonic escalation, approval/override). Multiple classes across all agents.","Every agent passes a three-step validation (licensure verification, development testing, clinical review by 6,000+ nurses / 300+ physicians) before release; 180M+ interactions monitored. Evals-as-gating (partial ops).",https://hippocraticai.com/polaris/,,https://www.nvidia.com/en-us/case-studies/hippocratic-ai/,https://hippocraticai.com/
Clara smart-audit agents / Workbench multi-agent platform,KPMG (with Microsoft Azure),Professional Services (audit / accounting),0.25,0.0,0.25,0.25,"Audit agents (expense vouching, search for unrecorded liabilities) deployed within a governed, 'trusted enterprise AI' platform scoped to audit procedures (guardrail + scoped-access classes, partial).","no public evidence (Workbench networks ~50 interacting agents, but no documented emergence/cascade governance; single interaction-graph class < 1/4 threshold)","Explicitly 'AI-enabled, human-led': auditors review and sign off on agent outputs (approval-gate + tiered-autonomy), within a regulated audit trail (provenance). Empowers 95,000+ auditors. Unmeasured coverage.","Built on Azure with Agent 365/Copilot governance; standardizes/automates audit procedures with staged rollout of agents over 12 months (policy governance + progressive rollout + observability, partial).",https://kpmg.com/xx/en/media/press-releases/2025/04/kpmg-advances-ai-integration-in-kpmg-clara-smart-audit-platform.html,,https://kpmg.com/us/en/capabilities-services/audit-services/kpmg-clara.html,https://news.microsoft.com/source/2026/06/09/kpmg-and-microsoft-scale-trusted-enterprise-ai-agents-globally-through-deployment-of-agent-365-and-copilot/
Zora AI agentic platform,Deloitte,Professional Services (consulting),0.25,0.0,0.25,0.25,"Agents deployed under Deloitte's Trustworthy AI principles (robust, reliable, secure) with rigorous testing/QA before deployment (guardrail + testing classes, partial). Used internally for finance/expense processes.",no public evidence,"Trustworthy-AI governance and ethical safeguards emphasizing transparency, accountability, and human oversight (approval/oversight classes). Unmeasured; framework-level rather than mechanism-level detail.","Deloitte manages the full SDLC for deployed agents with rigorous testing and QA for reliability/performance (evals/testing + release-management, partial). No public evidence of CI evals, chaos drills, or error-budget autonomy.",https://www.deloitte.com/us/en/about/press-room/deloitte-unveils-zora-ai-agentic-ai-for-tomorrows-workforce.html,,https://www.deloitte.com/us/en/services/consulting/services/zora-generative-ai-agent.html,https://www.deloitte.com/us/en/about/press-room/deloitte-unveils-zora-ai-agentic-ai-for-tomorrows-workforce.html
Harvey legal AI (enterprise deployment),A&O Shearman (Allen & Overy) with Harvey; PwC alliance,Professional Services (law),0.25,0.0,0.25,0.25,"Legal-domain agents deployed with source-grounding/citation to reduce hallucination and scoped to firm document sets (closed-loop guardrail class, partial). Rolled out fleet-wide (~4,000 staff, 43 jurisdictions) but individual control mechanisms lightly documented.",no public evidence,Lawyer-in-the-loop review of all outputs before use in matters (approval-gate class); agentic workflows framed as augmenting supervised professionals. Unmeasured.,"Forward-deployed-engineering model with custom domain models and benchmark/eval-driven development; phased trial (~40,000 queries) to enterprise rollout (evals + progressive rollout, partial). FLAG: several details from vendor/secondary sources.",https://www.aoshearman.com/en/news/ao-shearman-and-harvey-to-roll-out-agentic-ai-agents-targeting-complex-legal-workflows,,https://en.wikipedia.org/wiki/Harvey_(software),https://getperspective.ai/blog/harvey-ai-forward-deployed-engineers-biglaw-deployment-playbook-2026
GOV.UK Chat,UK Government Digital Service (GDS),Public Sector,0.25,0.0,0.25,0.25,Two layers of safety guardrails; scope-limited to GOV.UK content (least-privilege); clarifying follow-up questions on low-confidence queries (uncertainty-aware). Multiple guardrail classes on a single production agent.,no public evidence (single-agent service; no multi-agent population/emergence mechanisms),"Dedicated oversight/monitoring during pilots; red-teaming with the AI Security Institute (508 jailbreak attempts, all blocked) reflects oversight and human governance (partial L3).",Staged/progressive rollout across two public pilots; measured accuracy improvement 76% to 90% with gaps tracked; latency monitored; safety evals as gating. Several ops classes (partial).,https://www.gov.uk/government/news/governments-experimental-ai-chatbot-to-help-people-set-up-small-businesses-and-find-support,,https://insidegovuk.blog.gov.uk/2026/05/15/developing-gov-uk-chat-our-data-science-and-ai-engineering-journey/,https://www.publictechnology.net/2026/03/19/science-technology-and-research/gds-reports-achieving-90-accuracy-in-gov-uk-chat-pilots/
Alaska Inspires (AI Destination Search),Alaska Airlines (with Microsoft Azure OpenAI),Retail / Airline,0.25,0.0,0.0,0.25,"Natural-language destination search built on Azure OpenAI with explicit hallucination mitigation and grounding to accurate pricing/destination data (anti-hallucination guardrails, scoped data). Partial guardrail classes.",no public evidence,no public evidence (read-only discovery/search tool with no documented human escalation or override mechanism),"Measured outcomes since June 2024 launch: 7% conversion (vs 5% baseline), 90% guest satisfaction, 87% repeat intent; iterative model fine-tuning. Golden-signal/observability partial.",https://www.microsoft.com/en/customers/story/25850-alaska-airlines-azure-openai,,,https://www.customerexperiencedive.com/news/alaska-airlines-natural-language-search-trip-planning/807705/
Verdi Customer-Service Mediation,Mercado Libre (with OpenAI),Retail / E-commerce,0.25,0.0,0.25,0.25,"Verdi platform provides a structured framework governing GPT-4o-based agents and scoped API access for handling buyer-seller dispute mediation (bounded tool use, partial guardrails).",no public evidence,"Agent interfaces with internal employees when necessary during mediation, handing off complex cases to humans (escalation, partial L3).","Structured developer platform (17k devs, 30k microservices) with measured scope of automation (~10% of customer-service mediation on a major site). Platform/observability partial.",https://openai.com/index/mercado-libre/,,https://openai.com/index/mercado-libre/,https://openai.com/index/mercado-libre/
Sparky Shopping Assistant,Walmart,Retail / E-commerce,0.25,0.0,0.0,0.25,"Transactions constrained to Walmart's own checkout with scoped access to real-time inventory/pricing/delivery data (least-privilege tool access); deliberately deployed for narrow, specific tasks. Partial guardrail classes.",no public evidence,no public evidence (no documented human escalation/override in the shopping-assistant flow),Adoption and business metrics tracked (~half of app users tried it; ~35% higher average order value for users); phased task-specific rollout. Golden-signal/observability partial.,https://corporate.walmart.com/news/2025/06/06/walmart-the-future-of-shopping-is-agentic-meet-sparky,,,https://talkbusiness.net/2026/07/the-supply-side-walmarts-sparky-shopping-agent-drives-more-sales/
Agentforce (Einstein Trust Layer),Salesforce,SaaS / CRM,0.25,0.0,0.25,0.25,"Einstein Trust Layer sits between every prompt and the LLM: topic/scope guardrails, data masking, toxicity detection on outputs, and permission-based access controls (least-privilege). Multiple L1 classes on production agents; coverage unmeasured publicly.",no public evidence,Each LLM call is its own immutable audit record (audit trail is the source of truth for what the model saw); human review recommended before actions (approval gate). ~2-3/9 classes; no drill/SLA metrics.,Agentforce Testing Center simulates and scores agent behavior before deployment (pre-prod evals); audit records analyzed in Data 360 (observability). Partial L4; no CI-gate/coverage metrics published.,https://www.salesforce.com/welcome-to-the-agentic-enterprise/ai-guardrails/,,https://www.salesforce.com/blog/best-practices-for-secure-agentforce-implementation-2/,https://trailhead.salesforce.com/content/learn/modules/trusted-agentic-ai/explore-agentforce-guardrails-and-trust-patterns
Joule agents / AI Agent Hub,SAP,SaaS / ERP,0.25,0.0,0.25,0.25,"Joule Studio ships built-in operational controls: guardrails plus human checkpoints, and scoping of what each agent 'is allowed to touch' (least-privilege). Partial L1; coverage unmeasured. Some claims sourced to partner/analyst blogs (flagged as indirect).","no public evidence (Agent Hub is a registry, not an interaction-graph/cascade monitor)","AI Agent Hub is a central registry showing what each agent does, is allowed to touch, and actually did (provenance/audit) and monitors every agent (oversight meta-monitoring); human oversight by default for critical decisions (approval gates). ~3/9 classes.","Process Insights for behavioral observability/impact analysis (semantic observability); managed runtime embedding operations/controls; evaluation built in. Partial L4; described as platform capability, coverage not measured.",https://community.sap.com/t5/artificial-intelligence-blogs-posts/agent-builder-in-joule-studio-is-now-generally-available-build-your-own/ba-p/14289282,,https://ignitesap.com/sap-ai-agent-hub-and-agent-governance/,https://www.ux4tech.com/blog/sap-ai-agent-hub-enterprise-governance
Rovo agents (Jira/Confluence),Atlassian,SaaS / collaboration,0.25,0.0,0.25,0.25,"Agents inherit the triggering user's existing permissions and can only touch what that user can (least-privilege tool access); tenant isolation and zero-retention inference. Mainly permission-scoping; ~1-2/9 classes, unmeasured.",no public evidence,Approved agent updates captured alongside human work-item history (audit/provenance); agents operate inside Jira approval workflows (approval gates); admin governance/oversight config. ~2/9 classes.,"Admin governance controls, auditability (who accessed what/when/why), and consistent policy across production and sandbox environments. Thin public semantic-observability evidence; ~1-2/10 classes.",https://support.atlassian.com/rovo/docs/rovo-agent-permissions-and-governance/,,https://techinformed.com/atlassian-adds-ai-agents-to-jira-under-existing-permissions/,https://support.atlassian.com/rovo/docs/rovo-agent-permissions-and-governance/
AI Companion / Virtual Agent,Zoom,SaaS / communications,0.25,0.0,0.25,0.25,"Layered safeguards: real-time safety checks, multi-model cross-checking to validate responses (closed-loop guardrails), hallucination prevention, and answers drawn only from customer-approved sources (least-privilege data). Partial L1; coverage unmeasured.","no public evidence (multi-model cross-check is output validation, not population-level model-diversity governance)",Vertical-specific backend logic to prevent off-policy responses and escalation paths to human agents; post-call analytics provide a review record. ~1-2/9 classes; no measured SLA.,Enterprise observability via AI simulations and post-call analytics (evals + semantic observability). Partial L4; measured coverage not published.,https://www.zoom.com/en/products/virtual-agent/features/responsible-ai/,,https://www.zoom.com/en/products/virtual-agent/features/responsible-ai/,https://www.zoom.com/en/products/ai-assistant/resources/privacy-security/
Fin AI customer-service agent,Intercom,SaaS / customer support,0.25,0.0,0.25,0.25,"Fin AI Engine runs pre-answer safety checks: confidence threshold (uncertainty-aware), accuracy and grounding checks before responding (closed-loop guardrail); answers only from approved content sources. Partial L1; coverage unmeasured.",no public evidence,"Configurable escalation to humans on triggers (customer requests human, appears angry, stuck in a repetitive loop) = behavioral/algedonic escalation and iteration-limit fallback. ~2/9 classes; no measured escalation latency published.","Full observability suite plus documented Honeycomb case study on distributed tracing to observe/operate Fin in production (semantic observability, golden signals); changes testable before going live. Partial L4.",https://www.intercom.com/help/en/articles/9929230-the-fin-ai-engine,,https://www.intercom.com/help/en/articles/10210126-provide-fin-ai-agent-with-specific-guidance,https://www.honeycomb.io/resources/case-studies/how-honeycomb-helped-intercom-observe-and-operate-fin-ai
Sidekick merchant agent,Shopify,SaaS / e-commerce,0.25,0.0,0.0,0.25,Cheap deterministic validation checks run before the expensive LLM judge (basic-layer validation / closed-loop guardrail); anti-reward-hacking safeguards on outputs. ~1-2/9 classes; coverage unmeasured.,"no public evidence (merchant simulation is user simulation for eval, not agent-population simulation)","no public evidence of tiered autonomy, approval gates, kill switch, or audit-trail supervisory controls in the engineering account","Rigorous eval framework: LLM-as-judge + merchant simulation, ground-truth sets sampled from production and continuously grown, with judge-vs-human agreement measured statistically (evals + measured effectiveness, golden signals). Strong on the eval axis but only ~3/10 L4 classes, so held at 0.25.",https://shopify.engineering/building-production-ready-agentic-systems,,,https://shopify.engineering/building-production-ready-agentic-systems
AI Agents governed via AI Control Tower,ServiceNow,SaaS / enterprise workflow,0.25,0.0,0.25,0.25,"Runtime agent-deviation detection flags straying from authorized role, prompt-injection and override attempts (circuit-breaker-like); deterministic output screening for PII/XSS/SQLi/RCE (closed-loop guardrail). ~2-3/9 classes; coverage unmeasured.",no public evidence of population/interaction-graph monitoring (deviation detection is per-agent),AI Control Tower is a fleet oversight/meta-monitoring plane (discover/observe/govern/measure) with Intelligent Approvals (approval gates) and audit. ~3/9 classes; certification/SLA not published.,"Traceloop-based deep runtime observability into agent reasoning/decisions (semantic observability), plus govern/secure/measure enforcement (policy gates). Partial L4; measured error-budget coupling not shown.",https://newsroom.servicenow.com/press-releases/details/2026/ServiceNow-expands-AI-Control-Tower-to-discover-observe-govern-secure-and-measure-AI-deployed-across-any-system-in-the-enterprise/default.aspx,,https://www.servicenow.com/products/ai-control-tower.html,https://www.servicenow.com/products/ai-control-tower.html
IntentCX,T-Mobile (with OpenAI),Telecom,0.25,0.0,0.25,0.0,"Intent-driven decisioning platform with secure/scoped access to T-Mobile data (least-privilege); autonomous customer interactions only 'under certain circumstances' (bounded autonomy). Announcement/testing-stage signal, 2025 rollout.",no public evidence,"Primary mode is agent-assist: platform delivers individualized solutions that human contact-center agents use, with human-in-the-loop for complex cases (tiered autonomy, partial).",no public evidence (deployment still in testing; no ops/eval/rollout mechanisms documented),https://www.t-mobile.com/news/business/t-mobile-launches-intentcx-with-openai,,https://www.customerexperiencedive.com/news/t-mobile-openai-customer-service-agents-generative-ai-intentcx/727572/,
